Country,DevType,YearsCodePro,Salary,Count
France,Data scientist & ML,7-10,55207.125,8
France,Database administrator,0-2,57381.944444444445,18
France,Database administrator,10-15,60796.11111111111,9
France,Database administrator,15-20,85152.06666666667,15
France,Database administrator,2-5,74421.0,28
France,Database administrator,20+,47845.71428571428,7
France,Database administrator,5-7,52761.2,10
France,Database administrator,7-10,52436.0,6
France,DevOps specialist,0-2,188762.25,4
France,DevOps specialist,10-15,57287.0,1
France,DevOps specialist,15-20,96240.0,1
France,DevOps specialist,2-5,43324.42857142857,7
France,DevOps specialist,7-10,52091.666666666664,3
France,"Developer, back-end",0-2,73122.24786324786,117
France,"Developer, back-end",10-15,107524.67948717948,78
France,"Developer, back-end",15-20,87396.60606060606,33
France,"Developer, back-end",2-5,81193.12962962964,216
France,"Developer, back-end",20+,168716.60869565216,23
France,"Developer, back-end",5-7,58402.517857142855,56
France,"Developer, back-end",7-10,107549.74117647059,85
France,"Developer, front-end",0-2,53681.09523809524,21
France,"Developer, front-end",10-15,51466.4,5
France,"Developer, front-end",15-20,82684.83333333333,6
France,"Developer, front-end",2-5,90427.04166666667,24
France,"Developer, front-end",20+,95670.0,2
France,"Developer, front-end",5-7,94613.38461538461,13
France,"Developer, front-end",7-10,65117.11111111111,9
France,"Developer, full-stack",0-2,54532.17333333333,75
France,"Developer, full-stack",10-15,122399.07894736843,38
France,"Developer, full-stack",15-20,100433.5,14
France,"Developer, full-stack",2-5,115324.9603960396,101
France,"Developer, full-stack",20+,60299.0,7
France,"Developer, full-stack",5-7,54050.92857142857,28
France,"Developer, full-stack",7-10,55409.19512195122,41
Germany,Academic researcher,0-2,34843.34375,64
Germany,Academic researcher,10-15,140869.2258064516,31
Germany,Academic researcher,15-20,84334.38888888889,18
Germany,Academic researcher,2-5,51599.72277227723,101
Germany,Academic researcher,20+,168714.66666666666,12
Germany,Academic researcher,5-7,94133.25,52
Germany,Academic researcher,7-10,117623.09375,64
Germany,Data or business analyst,0-2,95590.30952380953,42
Germany,Data or business analyst,10-15,169012.38095238095,21
Germany,Data or business analyst,15-20,78482.0625,16
